Tool combination,Score
locksmith,192
racerf,1352
nacpa,498
utaipan,778
uautomizer,1311
sv-sanitizers,108
cpachecker,442
deagle,1338
dartagnan,1175
esbmc-kind,518
theta,823
ugemcutter,1282
goblint,1424
